id,name,feature
1,我霖,0
2,先系,0
3,驚會,0
4,心痛,0
5,炆,0
6,煩躁,0
7,忟,0
8,激到,0
9,易爆,0
10,好怕,0
11,送入,0
12,我怕,0
13,細膽,0
14,痛心,0
15,衝出,0
16,驚要,0
17,唔自然,0
18,驚到,0
19,得人驚,0
20,亂,0
21,帥哥,0
22,狂燥,0
23,數目,0
24,食量,0
25,由細,0
26,銀碼,0
27,獲,0
28,小事化,0
29,差別,0
30,影響力,0
31,人越,0
32,精神壓力,0
33,脾,0
34,由細識,0
35,自由度,0
36,反差,0
37,勢力,0
38,人愈,0
39,言語,0
40,性取向,0
41,認知,0
42,模式,0
43,缺失,0
44,手段,0
45,人格,0
46,障礙,0
47,評價,0
48,暴力,0
49,情感,0
50,思維,0
51,之間,0
52,衝突,0
53,互相,0
54,男性,0
55,討論,0
56,交流,0
57,相處,0
58,感情,0
59,溝通,0
60,無關,0
61,下班,0
62,上班,0
63,睡覺,0
64,上學,0
65,睡著,0
66,睡,0
67,看看,0
68,待,0
69,外出,0
70,晚上,0
71,幾天,0
72,不見,0
73,進去,0
74,不吃,0
75,出殯,0
76,三天,0
77,上課,0
78,今天,0
79,清除,0
80,怎麼樣,0
81,家裡,0
82,吃,0
83,不行,0
84,談談,0
85,不去,0
86,回校,0
87,沒事,0
88,太累,0
89,多天,0
90,回去,0
91,一個多月,0
92,這次,0
93,這麼晚,0
94,沒完,0
95,明天,0
96,不管,0
97,生小孩,0
98,後天,0
99,任教,0
100,四點,0
101,還會,0
102,煩緊,0
103,死機,0
104,做緊,0
105,復發,0
106,拖延,0
107,暴食,0
108,頭痛,0
109,失眠,0
110,身體,0
111,康復,0
112,確診,0
113,發病,0
114,失調,0
115,惡化,0
116,躁鬱,0
117,發作,0
118,發燒,0
119,大病,0
120,抑鬱,0
121,抑鬱症,0
122,憂鬱,0
123,病發,0
124,嚴重,0
125,腸胃,0
126,焦慮,0
127,貨品,0
128,娜,0
129,救下,0
130,眼藥水,0
131,叫雯,0
132,曠工,0
133,上課時,0
134,暈陀陀,0
135,問曉君,0
136,慈雲山,0
137,備份,0
138,寒冷,0
139,火火,0
140,傷胃,0
141,失聲,0
142,講名,0
143,車仔,0
144,瓜,0
145,⁻,0
146,七樓,0
147,止到,0
148,叫白車,0
149,格硬黎,0
150,退而求其次,0
151,衰仔,0
152,張圖,0
153,嚇襯,0
154,爭扎緊,0
155,同呀講,0
156,西灣河,0
157,手快,0
158,彎,0
159,露面,0
160,有味,0
161,療傷,0
162,膝蓋,0
163,韓劇,0
164,講你知,0
165,我暈,0
166,打去問,0
167,出局,0
168,經痛,0
169,冬眠,0
170,我憎,0
171,做架,0
172,姐系,0
173,有點痛,0
174,看好,0
175,亂來,0
176,搞清,0
177,夢幻,0
178,未覆,0
179,阿五,0
180,執左,0
181,入數,0
182,想開,0
183,風平浪靜,0
184,太肥,0
185,再肥,0
186,倦到,0
187,入心,0
188,教教,0
189,十二,0
190,反點,0
191,我肥,0
192,落緊,0
193,放血,0
194,我想訓,0
195,開鋪,0
196,點先訓,0
197,編輯,0
198,斷估,0
199,郭姑娘,0
200,不痛,0
201,比架,0
202,停課,0
203,穩下,0
204,連線,0
205,中招,0
206,騎馬,0
207,調皮,0
208,當完值,0
209,爆波,0
210,識食,0
211,誒,0
212,再扮,0
213,資質,0
214,實唔,0
215,肥龍,0
216,會錯意,0
217,胃喉,0
218,傻人,0
219,著到,0
220,大後日,0
221,生產,0
222,科大,0
223,他知,0
224,整好,0
225,生左個,0
226,食太多,0
227,香薰,0
228,骨頭,0
229,眼紅,0
230,撞頭,0
231,到工,0
232,他剛,0
233,死到,0
234,我來,0
235,餐食,0
236,鬥爭,0
237,好果,0
238,入圍,0
239,問我個,0
240,淨番,0
241,一死了之,0
242,配屋,0
243,大件,0
244,消毒,0
245,好想入,0
246,再介,0
247,痛醒,0
248,自拍,0
249,等一等,0
250,摩擦,0
251,比人煩,0
252,想不出,0
253,爭住,0
254,打牆,0
255,黑夜,0
256,苦難,0
257,積住,0
258,提了,0
259,哩日,0
260,服從,0
261,工還,0
262,每刻,0
263,趕得切,0
264,郵件,0
265,洗手,0
266,有野煩,0
267,恢復正常,0
268,哎呀,0
269,割手,0
270,無賴,0
271,阿文,0
272,全屋,0
273,暴飲暴食,0
274,日夢,0
275,放個,0
276,送野,0
277,藥了,0
278,喊緊,0
279,路行,0
280,石頭,0
281,掃興,0
282,小部份,0
283,總共,0
284,小丑,0
285,去明,0
286,打會,0
287,果斷,0
288,粉嶺,0
289,火鍋,0
290,執屋,0
291,系架,0
292,錢會,0
293,時光倒流,0
294,邪惡,0
295,先開,0
296,頭疼,0
297,止痛,0
298,葵青,0
299,撕裂,0
300,入個,0
301,會會,0
302,嚇下,0
303,走火入魔,0
304,罪人,0
305,爸問,0
306,左一晚,0
307,輸曬,0
308,準則,0
309,就會醒,0
310,雞蛋,0
311,離個,0
312,熬夜,0
313,震緊,0
314,高度,0
315,好次,0
316,同驚,0
317,寧可,0
318,有陣,0
319,灰灰,0
320,甘喊,0
321,作家,0
322,比番,0
323,個行,0
324,人錯,0
325,逃出,0
326,行條,0
327,唱歌跳舞,0
328,心心,0
329,兩百萬,0
330,坐過,0
331,麻雀,0
332,離家,0
333,賭輸,0
